image_id,method,task,mIoU,pixel_accuracy,inference_time_sec
image_017,Watershed-Binary,binary,0.631231325,0.868897078,0.014269352
image_017,Watershed-Semantic-Oracle,semantic-oracle,0.631778591,0.869269118,0.017054796
image_017,U-Net-Semantic,semantic,0.217149213,0.783645129,0.565423489
image_017,SegFormer-Semantic,semantic,0.134472284,0.530305582,0.675853968
image_017,SAM-Class-Agnostic,class-agnostic-binary,0.05636771,0.112571422,30.96256518
image_018,Watershed-Binary,binary,0.323023876,0.646047752,0.026244402
image_018,Watershed-Semantic-Oracle,semantic-oracle,0.455993301,0.911986601,0.029542208
image_018,U-Net-Semantic,semantic,0.239030493,0.840393469,0.450448275
image_018,SegFormer-Semantic,semantic,0.014137371,0.14182402,0.525485754
image_018,SAM-Class-Agnostic,class-agnostic-binary,0.20455075,0.368740135,29.29294872
image_019,Watershed-Binary,binary,0.348247156,0.696494311,0.017282963
image_019,Watershed-Semantic-Oracle,semantic-oracle,0.46731334,0.934626679,0.020442486
image_019,U-Net-Semantic,semantic,0.096241704,0.947377813,0.535030127
image_019,SegFormer-Semantic,semantic,0,0,0.54837966
image_019,SAM-Class-Agnostic,class-agnostic-binary,0.032543332,0.065066859,28.38848209
image_020,Watershed-Binary,binary,0.328887783,0.657775566,0.018321276
image_020,Watershed-Semantic-Oracle,semantic-oracle,0.499333933,0.998667866,0.025411606
image_020,U-Net-Semantic,semantic,0.119877045,0.957819588,0.467827559
image_020,SegFormer-Semantic,semantic,0.007555762,0.075456964,0.639231682
image_020,SAM-Class-Agnostic,class-agnostic-binary,0.069667158,0.139334316,30.12248397
image_021,Watershed-Binary,binary,0.142015395,0.283915029,0.023040771
image_021,Watershed-Semantic-Oracle,semantic-oracle,0.471914177,0.943828355,0.027991772
image_021,U-Net-Semantic,semantic,0.281112314,0.955893051,0.510793209
image_021,SegFormer-Semantic,semantic,0.150069282,0.745933292,0.548134565
image_021,SAM-Class-Agnostic,class-agnostic-binary,0.086402089,0.160114533,30.03960133
