image_id,method,task,mIoU,pixel_accuracy,inference_time_sec
image_071,U-Net-Semantic,semantic,0.086271057,0.860505367,0.407100916
image_071,SegFormer-Semantic,semantic,0.173621662,0.651404383,0.484493494
image_071,SAM-Class-Agnostic,class-agnostic-binary,0.256567953,0.429134737,22.93340135
image_072,Watershed-Binary,binary,0.196830407,0.33318419,0.015674829
image_072,Watershed-Semantic-Oracle,semantic-oracle,0.131789198,0.328298107,0.021947384
image_072,U-Net-Semantic,semantic,0.172900398,0.425671342,0.39529562
image_072,SegFormer-Semantic,semantic,0.001254012,0.007701323,0.417915821
image_072,SAM-Class-Agnostic,class-agnostic-binary,0.390625683,0.690889869,23.59153843
image_073,Watershed-Binary,binary,0.232250405,0.441283616,0.017329931
image_073,Watershed-Semantic-Oracle,semantic-oracle,0.467822586,0.935645173,0.028775692
image_073,U-Net-Semantic,semantic,0.652962075,0.997517229,0.389919281
image_073,SegFormer-Semantic,semantic,0.043747236,0.16372756,0.441322327
image_073,SAM-Class-Agnostic,class-agnostic-binary,0.032112272,0.064091855,22.04287362
image_074,Watershed-Binary,binary,0.361506021,0.723012043,0.017136335
image_074,Watershed-Semantic-Oracle,semantic-oracle,0.495692181,0.991384362,0.022433043
image_074,U-Net-Semantic,semantic,0.123491144,0.965491188,0.370879173
image_074,SegFormer-Semantic,semantic,1.89E-05,0.000131066,0.510863543
image_074,SAM-Class-Agnostic,class-agnostic-binary,0.088651226,0.174459932,22.1531961
image_075,Watershed-Binary,binary,0.255432292,0.450334699,0.014240503
image_075,Watershed-Semantic-Oracle,semantic-oracle,0.515759929,0.811493165,0.022677183
image_075,U-Net-Semantic,semantic,0.254517076,0.870464356,0.333795071
image_075,SegFormer-Semantic,semantic,0.122340392,0.611701961,0.383527756
image_075,SAM-Class-Agnostic,class-agnostic-binary,0.323514457,0.490467328,21.33560944
image_076,Watershed-Binary,binary,0.435067397,0.609983245,0.013529539
image_076,Watershed-Semantic-Oracle,semantic-oracle,0.435067397,0.609983245,0.020539522
image_076,U-Net-Semantic,semantic,0.391689109,0.739840246,0.294299603
image_076,SegFormer-Semantic,semantic,0.018699154,0.110415066,0.372203827
image_076,SAM-Class-Agnostic,class-agnostic-binary,0.196168554,0.328996541,20.62426853
image_077,Watershed-Binary,binary,0.725161544,0.966785387,0.007273197
image_077,Watershed-Semantic-Oracle,semantic-oracle,0.750642704,0.972292152,0.014075756
image_077,U-Net-Semantic,semantic,0.13021125,0.912564629,0.312664747
image_077,SegFormer-Semantic,semantic,0,0,0.356248617
image_077,SAM-Class-Agnostic,class-agnostic-binary,0.046069415,0.08838668,20.86746788
image_078,Watershed-Binary,binary,0.378272722,0.693234469,0.012228727
image_078,Watershed-Semantic-Oracle,semantic-oracle,0.463997558,0.916366506,0.019532204
image_078,U-Net-Semantic,semantic,0.27898505,0.987205732,0.293807745
image_078,SegFormer-Semantic,semantic,0.026225089,0.015614867,0.35020256
image_078,SAM-Class-Agnostic,class-agnostic-binary,0.025859706,0.050887981,21.30993271
image_079,Watershed-Binary,binary,0.315293513,0.496621023,0.016267061
image_079,Watershed-Semantic-Oracle,semantic-oracle,0.183019159,0.456625916,0.027072906
image_079,U-Net-Semantic,semantic,0.195899427,0.648354383,0.413887739
image_079,SegFormer-Semantic,semantic,0.086121178,0.334358416,0.446295977
image_079,SAM-Class-Agnostic,class-agnostic-binary,0.379821904,0.582647836,23.82142234
image_080,Watershed-Binary,binary,0.450843347,0.901686695,0.010561466
image_080,Watershed-Semantic-Oracle,semantic-oracle,0.493103395,0.98620679,0.014919996
image_080,U-Net-Semantic,semantic,0.166072373,0.966706311,0.430469513
image_080,SegFormer-Semantic,semantic,0.005429192,0.027107596,0.462339163
image_080,SAM-Class-Agnostic,class-agnostic-binary,0.023706091,0.046557876,23.12726307
image_081,Watershed-Binary,binary,0.337524499,0.675048997,0.017479658
image_081,Watershed-Semantic-Oracle,semantic-oracle,0.481826797,0.963653594,0.025053263
image_081,U-Net-Semantic,semantic,0.138211598,0.963584674,0.424279213
image_081,SegFormer-Semantic,semantic,0.039681651,0.277758394,0.472383738
image_081,SAM-Class-Agnostic,class-agnostic-binary,0.034187007,0.066739894,23.13316798
image_082,Watershed-Binary,binary,0.406813465,0.673305339,0.023142099
image_082,Watershed-Semantic-Oracle,semantic-oracle,0.430136018,0.774463054,0.031238317
image_082,U-Net-Semantic,semantic,0.25585079,0.940852945,0.45251894
image_082,SegFormer-Semantic,semantic,0.05844943,0.360338774,0.493642569
image_082,SAM-Class-Agnostic,class-agnostic-binary,0.104087394,0.189101348,24.44363141
image_083,Watershed-Binary,binary,0.311565317,0.609775158,0.022661209
image_083,Watershed-Semantic-Oracle,semantic-oracle,0.478042134,0.956084268,0.030563116
image_083,U-Net-Semantic,semantic,0.239281646,0.956080219,0.403747559
image_083,SegFormer-Semantic,semantic,0.046588408,0.496855932,0.482812643
image_083,SAM-Class-Agnostic,class-agnostic-binary,0.194711252,0.377915805,22.67438626
image_084,Watershed-Binary,binary,0.307844965,0.612885556,0.027813911
image_084,Watershed-Semantic-Oracle,semantic-oracle,0.478261952,0.956523904,0.034017563
image_084,U-Net-Semantic,semantic,0.244904141,0.734703278,0.412259817
image_084,SegFormer-Semantic,semantic,0.078755567,0.551254653,0.45996666
image_084,SAM-Class-Agnostic,class-agnostic-binary,0.353932617,0.685276555,23.54265761
image_085,Watershed-Binary,binary,0.544796615,0.863260284,0.012468576
image_085,Watershed-Semantic-Oracle,semantic-oracle,0.620153725,0.915488095,0.024522781
image_085,U-Net-Semantic,semantic,0.346737352,0.975242974,0.398744106
image_085,SegFormer-Semantic,semantic,0.054076167,0.270107306,0.44660902
image_085,SAM-Class-Agnostic,class-agnostic-binary,0.036474538,0.071083617,23.17201376
image_086,Watershed-Binary,binary,0.026098993,0.052172784,0.026824951
image_086,Watershed-Semantic-Oracle,semantic-oracle,0.437254524,0.874509048,0.033584118
image_086,U-Net-Semantic,semantic,0.083959597,0.873851821,0.406338692
image_086,SegFormer-Semantic,semantic,0.174892865,0.841612291,0.444510937
image_086,SAM-Class-Agnostic,class-agnostic-binary,0.462013436,0.68484994,22.63690829
image_087,Watershed-Binary,binary,0.474789571,0.645240527,0.021716595
image_087,Watershed-Semantic-Oracle,semantic-oracle,0.335176744,0.730448615,0.037541628
image_087,U-Net-Semantic,semantic,0.113272286,0.378851208,0.378036499
image_087,SegFormer-Semantic,semantic,0.027182225,0.158208501,0.421127319
image_087,SAM-Class-Agnostic,class-agnostic-binary,0.489837719,0.713281451,22.46728873
image_088,Watershed-Binary,binary,0.271505583,0.437199083,0.018782616
image_088,Watershed-Semantic-Oracle,semantic-oracle,0.535927751,0.755360553,0.023004293
image_088,U-Net-Semantic,semantic,0.127450403,0.719022082,0.490947247
image_088,SegFormer-Semantic,semantic,0.173861289,0.685876646,0.480757952
image_088,SAM-Class-Agnostic,class-agnostic-binary,0.080582159,0.158879743,22.4634428
image_089,Watershed-Binary,binary,0.37195656,0.558138109,0.022135258
image_089,Watershed-Semantic-Oracle,semantic-oracle,0.250384529,0.689368798,0.023178577
image_089,U-Net-Semantic,semantic,0.116405935,0.757781719,0.322978973
image_089,SegFormer-Semantic,semantic,0.007749713,0.066823064,0.376219749
image_089,SAM-Class-Agnostic,class-agnostic-binary,0.23326569,0.378422894,21.21363139
image_090,Watershed-Binary,binary,0.23441363,0.468730312,0.011947393
image_090,Watershed-Semantic-Oracle,semantic-oracle,0.434412208,0.868824416,0.015026569
image_090,U-Net-Semantic,semantic,0.148816622,0.950882426,0.400942564
image_090,SegFormer-Semantic,semantic,0.041442506,0.206937389,0.35607481
image_090,SAM-Class-Agnostic,class-agnostic-binary,0.029917178,0.058364502,21.09901977
image_091,Watershed-Binary,binary,0.645188953,0.7929414,0.016339064
image_091,Watershed-Semantic-Oracle,semantic-oracle,0.506417353,0.786350148,0.026968718
image_091,U-Net-Semantic,semantic,0.08012526,0.506610689,0.310662985
image_091,SegFormer-Semantic,semantic,0.023675674,0.135811748,0.338415146
image_091,SAM-Class-Agnostic,class-agnostic-binary,0.375100825,0.545609648,21.47738338
image_092,Watershed-Binary,binary,0.181469368,0.322687882,0.014233351
image_092,Watershed-Semantic-Oracle,semantic-oracle,0.121089947,0.322687882,0.016930342
image_092,U-Net-Semantic,semantic,0.045722952,0.303220717,0.302439213
image_092,SegFormer-Semantic,semantic,0.003201234,0.017712765,0.359845877
image_092,SAM-Class-Agnostic,class-agnostic-binary,0.222484522,0.363996735,21.43108153
image_093,Watershed-Binary,binary,0.912785373,0.981436173,0.009577751
image_093,Watershed-Semantic-Oracle,semantic-oracle,0.912785373,0.981436173,0.016549826
image_093,U-Net-Semantic,semantic,0.104527516,0.925368584,0.370718718
image_093,SegFormer-Semantic,semantic,0.007115454,0.003436426,0.398803949
image_093,SAM-Class-Agnostic,class-agnostic-binary,0.061512703,0.122476127,23.23381042
image_094,Watershed-Binary,binary,0.327379315,0.493771304,0.038589954
image_094,Watershed-Semantic-Oracle,semantic-oracle,0.328265707,0.566950309,0.054540634
image_094,U-Net-Semantic,semantic,0.134123073,0.647837531,0.443120718
image_094,SegFormer-Semantic,semantic,0.00273289,0.020852236,0.521747351
image_094,SAM-Class-Agnostic,class-agnostic-binary,0.491525476,0.660650498,24.16456938
image_095,Watershed-Binary,binary,0.262712222,0.420429603,0.022841454
image_095,Watershed-Semantic-Oracle,semantic-oracle,0.262712222,0.420429603,0.027929068
image_095,U-Net-Semantic,semantic,0.315877252,0.761046038,0.41792345
image_095,SegFormer-Semantic,semantic,0.04381701,0.177964503,0.485694408
image_095,SAM-Class-Agnostic,class-agnostic-binary,0.280588566,0.560148792,23.43479156
image_096,Watershed-Binary,binary,0.710162435,0.886275606,0.018713236
image_096,Watershed-Semantic-Oracle,semantic-oracle,0.710162435,0.886275606,0.029563189
image_096,U-Net-Semantic,semantic,0.240105825,0.879914547,0.494552612
image_096,SegFormer-Semantic,semantic,0.096589797,0.386147826,0.486231804
image_096,SAM-Class-Agnostic,class-agnostic-binary,0.021850601,0.042818352,22.84359455
image_097,Watershed-Binary,binary,0.133244261,0.262141387,0.024974108
image_097,Watershed-Semantic-Oracle,semantic-oracle,0.331463724,0.64550971,0.030567884
image_097,U-Net-Semantic,semantic,0.225082968,0.760467209,0.41176033
image_097,SegFormer-Semantic,semantic,0.010639924,0.082920095,0.432709694
image_097,SAM-Class-Agnostic,class-agnostic-binary,0.324464068,0.635969976,22.29086661
image_098,Watershed-Binary,binary,0.018209093,0.036403505,0.031187534
image_098,Watershed-Semantic-Oracle,semantic-oracle,0.443088796,0.886177593,0.039968729
image_098,U-Net-Semantic,semantic,0.165682893,0.88365705,0.45012331
image_098,SegFormer-Semantic,semantic,0.022201305,0.017538452,0.469377279
image_098,SAM-Class-Agnostic,class-agnostic-binary,0.079107759,0.149433853,22.63662243
image_099,Watershed-Binary,binary,0.798313371,0.887997901,0.016349792
image_099,Watershed-Semantic-Oracle,semantic-oracle,0.798313371,0.887997901,0.023695707
image_099,U-Net-Semantic,semantic,0.10428337,0.428607227,0.440252066
image_099,SegFormer-Semantic,semantic,0.067974642,0.271882598,0.459597349
image_099,SAM-Class-Agnostic,class-agnostic-binary,0.591676405,0.771955035,23.28701615
image_100,Watershed-Binary,binary,0.301603785,0.596689841,0.015771389
image_100,Watershed-Semantic-Oracle,semantic-oracle,0.441784495,0.88356899,0.022665977
image_100,U-Net-Semantic,semantic,0.906511391,0.977925748,0.402739048
image_100,SegFormer-Semantic,semantic,0.047856916,0.254274709,0.482901335
image_100,SAM-Class-Agnostic,class-agnostic-binary,0.023788649,0.046481586,22.57785845
